source,target,interaction,scaffold,species,HH_type,genus,distance
EST1237103201S1K,EST1241108101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,28029.056525839
EST1237103201S1K,EST1242101101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,27067.1799335711
EST1237103201S1K,EST1356611101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,9646.00732572244
EST1237103201S1K,EST1358301101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,7813.7056088086
EST1237103201S1K,EST1358302101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,7536.27782064313
EST1237103201S1K,stools_11021150,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,300434.119696328
EST1238004201S1K,EST1241108101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,31692.2440407202
EST1238004201S1K,EST1242101101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,31190.642101849
EST1238004201S1K,EST1356611101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,6832.94793869454
EST1238004201S1K,EST1358302101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,5423.14453706104
EST1238004201S1K,EST1358304101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,5573.95506563981
EST1238105101S1K,stools_12086501,strain_sharing,NZ_CP040878.1,Entc_faecium,Between,Entc,295609.317046982
EST1241104101S1K,EST1247211101S1K,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,37951.6875449792
EST1241104101S1K,EST1356602101S1K,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,37794.206956173
EST1241104101S1K,stools_11055101,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,317228.41998346
EST1241104101S1K,stools_12098150,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,312216.0822915
EST1241108101S1K,EST1242101101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,4818.23303947385
